ENCRYPTION
Plaintext P: 01010111011010000110010101101110001000000111010001101000011001010010000001001110011000010111010001101001011011110110111001100001
Key K: 00001111000101010111000111001001010001111101100111101000010110010000110010110111101011011101011010101111011111110110011110011000
Ciphertext C: 10010010010000001010010011111110000111010101100010110101000011111100011000000100100100010111011001000000000101000100110110010001
Running time: 0ms
Avalanche: 
P and Pi under K
Round            AES0   
   0               1      
   1               16     
   2               64     
   3               64     
   4               64     
   5               64     
   6               64     
   7               64     
   8               64     
   9               64     
   10              64     

P under K and Ki
Round            AES0   
   0               0      
   1               21     
   2               62     
   3               64     
   4               65     
   5               64     
   6               63     
   7               64     
   8               64     
   9               64     
   10              65     
