ENCRYPTION
Plaintext P: 	00000001001000110100010101100111100010011010101111001101111011111111111011011100101110101001100001110110010101000011001000010000
Key K: 		00001111000101010111000111001001010001111101100111101000010110010000110010110111101011011101011010101111011111110110011110011000
Ciphertext C: 	11111111000010111000010001001010000010000101001110111111011111000110100100110100101010110100001101100100000101001000111110111001
Running Time: 	17ms
Avalanche:
P and Pi under K
Round		AES0	AES1	AES2	AES3	AES4
  0		1	1	1	1	1
  1		16	6	16	4	16
  2		64	29	16	4	65
  3		63	37	15	4	64
  4		64	43	16	4	64
  5		64	37	16	4	64
  6		63	67	16	4	64
  7		64	15	16	4	63
  8		64	1	16	4	63
  9		64	6	16	4	64
  10		64	6	16	4	64
P under K and Ki
Round		AES0	AES1	AES2	AES3	AES4
  0		0	0	0	0	0
  1		21	12	21	10	16
  2		64	45	56	32	65
  3		64	66	64	47	64
  4		64	65	64	63	64
  5		64	64	65	64	64
  6		64	63	64	64	64
  7		64	64	65	64	63
  8		64	63	63	64	63
  9		65	63	64	64	64
